       D_1      total
    0.1624     0.1624
    0.8376     0.8376
    0.8223     0.8223
    0.1878     0.1878
    0.1472     0.1472
    0.1320     0.1320
    0.1421     0.1421
    0.7970     0.7970
    0.8680     0.8680
    0.1269     0.1269
    0.1777     0.1777
    0.1827     0.1827
    0.1726     0.1726
    0.2132     0.2132
    0.1624     0.1624
    0.1929     0.1929
    0.1624     0.1624
    0.2132     0.2132
    0.1320     0.1320
    0.1726     0.1726
    0.1929     0.1929
    0.7970     0.7970
    0.1472     0.1472
    0.1827     0.1827
    0.8020     0.8020
    0.1675     0.1675
    0.2437     0.2437
    0.2284     0.2284
    0.1726     0.1726
    0.7614     0.7614
    0.8274     0.8274
    0.1421     0.1421
    0.1472     0.1472
    0.2081     0.2081
    0.2284     0.2284
    0.2437     0.2437
    0.1929     0.1929
    0.1523     0.1523
    0.1726     0.1726
    0.7868     0.7868
    0.2030     0.2030
    0.1929     0.1929
    0.8071     0.8071
    0.2487     0.2487
    0.1574     0.1574
    0.7513     0.7513
    0.7919     0.7919
    0.1675     0.1675
    0.1777     0.1777
    0.7157     0.7157
    0.7716     0.7716
    0.1624     0.1624
    0.1827     0.1827
    0.1777     0.1777
    0.1929     0.1929
    0.7716     0.7716
    0.8629     0.8629
    0.1421     0.1421
    0.1675     0.1675
    0.1421     0.1421
    0.1371     0.1371
    0.1320     0.1320
    0.2081     0.2081
    0.1878     0.1878
    0.1624     0.1624
    0.1624     0.1624
    0.2487     0.2487
    0.8477     0.8477
    0.1980     0.1980
    0.1624     0.1624
    0.8731     0.8731
    0.2183     0.2183
    0.2284     0.2284
    0.2030     0.2030
    0.2284     0.2284
    0.7716     0.7716
    0.7208     0.7208
    0.2030     0.2030
    0.2284     0.2284
    0.1574     0.1574
    0.2081     0.2081
    0.1726     0.1726
    0.1929     0.1929
    0.7462     0.7462
    0.2284     0.2284
    0.2081     0.2081
    0.5431     0.5431
    0.2081     0.2081
    0.1878     0.1878
    0.2030     0.2030
    0.1929     0.1929
    0.2437     0.2437
    0.1523     0.1523
    0.4721     0.4721
    0.1878     0.1878
    0.1472     0.1472
    0.2183     0.2183
    0.1726     0.1726
    0.1827     0.1827
    0.2538     0.2538
    0.3655     0.3655
    0.2081     0.2081
    0.1675     0.1675
    0.1523     0.1523
    0.2030     0.2030
    0.5888     0.5888
    0.4822     0.4822
    0.5228     0.5228
    0.1777     0.1777
    0.1523     0.1523
    0.2030     0.2030
    0.1827     0.1827
    0.6091     0.6091
    0.2284     0.2284
    0.1624     0.1624
    0.8629     0.8629
    0.8629     0.8629
    0.3706     0.3706
    0.2030     0.2030
    0.2234     0.2234
    0.2893     0.2893
    0.1675     0.1675
    0.1726     0.1726
    0.2030     0.2030
    0.1523     0.1523
    0.1472     0.1472
    0.2132     0.2132
    0.1066     0.1066
    0.2081     0.2081
    0.2386     0.2386
    0.1675     0.1675
    0.2335     0.2335
    0.2487     0.2487
    0.2234     0.2234
    0.2030     0.2030
    0.2335     0.2335
    0.1726     0.1726
    0.2335     0.2335
    0.2386     0.2386
    0.2183     0.2183
    0.1929     0.1929
    0.1929     0.1929
    0.1675     0.1675
    0.3350     0.3350
    0.2335     0.2335
    0.2234     0.2234
    0.3147     0.3147
    0.2234     0.2234
    0.1472     0.1472
    0.1015     0.1015
    0.1269     0.1269
    0.1117     0.1117
    0.2335     0.2335
    0.3046     0.3046
    0.1624     0.1624
    0.2589     0.2589
    0.2437     0.2437
    0.1675     0.1675
    0.3096     0.3096
    0.2132     0.2132
    0.1523     0.1523
    0.2792     0.2792
    0.1269     0.1269
    0.2081     0.2081
    0.2538     0.2538
    0.1269     0.1269
    0.2893     0.2893
    0.2335     0.2335
    0.2030     0.2030
    0.2284     0.2284
    0.1523     0.1523
    0.1624     0.1624
    0.2234     0.2234
    0.2335     0.2335
    0.2335     0.2335
    0.1675     0.1675
    0.1472     0.1472
    0.1980     0.1980
    0.2234     0.2234
    0.2690     0.2690
    0.1168     0.1168
    0.2335     0.2335
    0.1878     0.1878
    0.1320     0.1320
    0.1523     0.1523
    0.1624     0.1624
    0.2081     0.2081
    0.2030     0.2030
    0.1827     0.1827
    0.1726     0.1726
    0.2081     0.2081
    0.1117     0.1117
    0.1574     0.1574
    0.1777     0.1777
    0.2234     0.2234
    0.1472     0.1472
    0.2030     0.2030
    0.2234     0.2234
    0.2030     0.2030
    0.2132     0.2132
    0.1777     0.1777
    0.1624     0.1624
    0.1675     0.1675
    0.2234     0.2234
    0.1726     0.1726
    0.2132     0.2132
    0.1371     0.1371
    0.1421     0.1421
    0.1777     0.1777
    0.1574     0.1574
    0.2030     0.2030
    0.1523     0.1523
    0.1827     0.1827
    0.1320     0.1320
    0.2437     0.2437
    0.2183     0.2183
    0.2183     0.2183
    0.2183     0.2183
    0.1421     0.1421
    0.2284     0.2284
    0.1523     0.1523
    0.1523     0.1523
    0.1929     0.1929
    0.1168     0.1168
    0.1371     0.1371
    0.1726     0.1726
    0.2589     0.2589
    0.1878     0.1878
    0.2386     0.2386
    0.2487     0.2487
    0.1878     0.1878
    0.1929     0.1929
    0.1421     0.1421
    0.2030     0.2030
    0.1827     0.1827
    0.1472     0.1472
    0.2030     0.2030
    0.1624     0.1624
    0.1168     0.1168
    0.1980     0.1980
    0.1675     0.1675
    0.1371     0.1371
    0.2386     0.2386
    0.2437     0.2437
    0.1371     0.1371
    0.2335     0.2335
    0.1827     0.1827
    0.1168     0.1168
    0.2132     0.2132
    0.2284     0.2284
    0.1574     0.1574
    0.1980     0.1980
    0.2132     0.2132
    0.1574     0.1574
    0.1777     0.1777
    0.1980     0.1980
    0.1827     0.1827
    0.7716     0.7716
    0.1726     0.1726
    0.1421     0.1421
    0.8274     0.8274
    0.1624     0.1624
    0.1777     0.1777
    0.1827     0.1827
    0.1472     0.1472
    0.2234     0.2234
    0.2284     0.2284
    0.1980     0.1980
    0.1675     0.1675
    0.1878     0.1878
    0.1726     0.1726
    0.2386     0.2386
    0.1523     0.1523
    0.1421     0.1421
    0.1168     0.1168
    0.1726     0.1726
    0.1777     0.1777
    0.1980     0.1980
    0.1218     0.1218
    0.2132     0.2132
    0.1624     0.1624
    0.1168     0.1168
    0.2284     0.2284
    0.1421     0.1421
    0.1472     0.1472
    0.1726     0.1726
    0.1320     0.1320
    0.1980     0.1980
    0.1472     0.1472
    0.1777     0.1777
    0.1472     0.1472
    0.2284     0.2284
    0.1624     0.1624
    0.1523     0.1523
    0.2081     0.2081
    0.9188     0.9188
    0.8376     0.8376
    0.1675     0.1675
    0.2640     0.2640
    0.2437     0.2437
    0.1523     0.1523
    0.2487     0.2487
    0.2234     0.2234
    0.1066     0.1066
    0.2132     0.2132
    0.1675     0.1675
    0.1726     0.1726
