       D_1      total
    0.8376     0.8376
    0.8376     0.8376
    0.8680     0.8680
    0.8223     0.8223
    0.7766     0.7766
    0.8782     0.8782
    0.8223     0.8223
    0.8173     0.8173
    0.8731     0.8731
    0.8376     0.8376
    0.8477     0.8477
    0.7563     0.7563
    0.8934     0.8934
    0.8020     0.8020
    0.8274     0.8274
    0.8477     0.8477
    0.8579     0.8579
    0.8832     0.8832
    0.7868     0.7868
    0.8274     0.8274
    0.7868     0.7868
    0.8223     0.8223
    0.8223     0.8223
    0.8122     0.8122
    0.7056     0.7056
    0.6802     0.6802
    0.8477     0.8477
    0.8223     0.8223
    0.7868     0.7868
    0.7563     0.7563
    0.8122     0.8122
    0.7919     0.7919
    0.8071     0.8071
    0.7919     0.7919
    0.7665     0.7665
    0.7766     0.7766
    0.8477     0.8477
    0.7005     0.7005
    0.7005     0.7005
    0.7817     0.7817
    0.7716     0.7716
    0.7868     0.7868
    0.7716     0.7716
    0.8223     0.8223
    0.8680     0.8680
    0.8274     0.8274
    0.8376     0.8376
    0.9086     0.9086
    0.7614     0.7614
    0.8883     0.8883
    0.8122     0.8122
    0.8325     0.8325
    0.8579     0.8579
    0.8122     0.8122
    0.7360     0.7360
    0.6954     0.6954
    0.6497     0.6497
    0.7157     0.7157
    0.8985     0.8985
    0.8223     0.8223
    0.7919     0.7919
    0.8629     0.8629
    0.8477     0.8477
    0.9036     0.9036
    0.7208     0.7208
    0.8528     0.8528
    0.8579     0.8579
    0.7411     0.7411
    0.7716     0.7716
    0.8325     0.8325
    0.8173     0.8173
    0.7005     0.7005
    0.8071     0.8071
    0.8528     0.8528
    0.8274     0.8274
    0.8680     0.8680
    0.8883     0.8883
    0.8629     0.8629
    0.7157     0.7157
    0.7970     0.7970
    0.8274     0.8274
    0.8883     0.8883
    0.8071     0.8071
    0.8832     0.8832
    0.8122     0.8122
    0.8680     0.8680
    0.8629     0.8629
    0.8122     0.8122
    0.8528     0.8528
    0.8782     0.8782
    0.8477     0.8477
    0.8883     0.8883
    0.8376     0.8376
    0.8528     0.8528
    0.8274     0.8274
    0.8528     0.8528
    0.7919     0.7919
    0.8680     0.8680
    0.9086     0.9086
    0.8122     0.8122
    0.8274     0.8274
    0.8122     0.8122
    0.8782     0.8782
    0.8731     0.8731
    0.8680     0.8680
    0.8782     0.8782
    0.2335     0.2335
    0.2437     0.2437
    0.7766     0.7766
    0.7563     0.7563
    0.1878     0.1878
    0.1878     0.1878
    0.8376     0.8376
    0.7868     0.7868
    0.5025     0.5025
    0.3706     0.3706
    0.1827     0.1827
    0.1726     0.1726
    0.9239     0.9239
    0.7513     0.7513
    0.7766     0.7766
    0.8731     0.8731
    0.8883     0.8883
    0.8477     0.8477
    0.7766     0.7766
    0.9086     0.9086
    0.7970     0.7970
    0.8579     0.8579
    0.9036     0.9036
    0.8782     0.8782
    0.8579     0.8579
    0.8274     0.8274
    0.7817     0.7817
    0.8883     0.8883
    0.8274     0.8274
    0.8426     0.8426
    0.7970     0.7970
    0.8832     0.8832
    0.8731     0.8731
    0.7919     0.7919
    0.3350     0.3350
