   Time(s)         P1         P2         P3         P4         P5        JSD
    0.0299     0.6931     0.0810     0.0000     0.0713     0.0256     0.0547 
    0.0302     0.0000     0.1029     0.0000     0.1089     0.0355     0.0688 
    0.0305     0.6931     0.0954     0.0000     0.0638     0.0421     0.0630 
    0.0309     0.6931     0.1561     0.0000     0.0893     0.0351     0.0716 
    0.0312     0.6931     0.1472     0.0000     0.0670     0.0401     0.0651 
    0.0315     0.6931     0.1028     0.0000     0.0883     0.0355     0.0639 
    0.0318     0.6931     0.1650     0.0000     0.0710     0.0236     0.0572 
    0.0322     0.6931     0.1442     0.0000     0.0503     0.0374     0.0576 
    0.0325     0.0000     0.1120     0.0000     0.0838     0.0286     0.0595 
    0.0328     0.6931     0.1219     0.0000     0.0644     0.0297     0.0546 
    0.0331     0.3183     0.1274     0.0000     0.0631     0.0341     0.0593 
    0.0335     0.6931     0.1527     0.0000     0.0573     0.0372     0.0628 
    0.0338     0.2158     0.1481     0.0000     0.0581     0.0176     0.0486 
    0.0341     0.6931     0.1093     0.0000     0.0788     0.0292     0.0567 
    0.0344     0.0000     0.1581     0.0000     0.0627     0.0301     0.0578 
    0.0348     0.0000     0.1553     0.0000     0.1029     0.0333     0.0677 
    0.0351     0.0000     0.1621     0.0000     0.0630     0.0247     0.0538 
    0.0354     0.0000     0.0879     0.0000     0.0527     0.0468     0.0574 
    0.0357     0.6931     0.1273     0.0000     0.0568     0.0185     0.0428 
    0.0361     0.0000     0.2425     0.0000     0.0670     0.0234     0.0594 
    0.0364     0.0000     0.1049     0.0000     0.0851     0.0287     0.0554 
    0.0367     0.0000     0.1863     0.0000     0.0924     0.0264     0.0626 
    0.0370     0.0000     0.2083     0.0000     0.0796     0.0242     0.0573 
    0.0374     0.6931     0.1934     0.0000     0.0984     0.0218     0.0598 
    0.0377     0.0000     0.1784     0.0000     0.0758     0.0346     0.0598 
    0.0380     0.0000     0.1268     0.0000     0.0684     0.0241     0.0469 
    0.0383     0.0000     0.1556     0.0000     0.0596     0.0249     0.0474 
    0.0387     0.6931     0.1743     0.0000     0.0629     0.0221     0.0503 
    0.0390     0.6931     0.2522     0.0000     0.0676     0.0465     0.0729 
    0.0393     0.6931     0.2182     0.0000     0.0410     0.0154     0.0411 
    0.0396     0.6931     0.1252     0.0000     0.0589     0.0312     0.0503 
    0.0400     0.0000     0.2831     0.0000     0.0603     0.0300     0.0627 
    0.0403     0.0000     0.2434     0.0000     0.0745     0.0232     0.0563 
    0.0406     0.0000     0.1691     0.0000     0.0529     0.0235     0.0454 
    0.0409     0.6931     0.1724     0.0000     0.0642     0.0249     0.0519 
    0.0413     0.0000     0.1955     0.0000     0.0716     0.0326     0.0564 
    0.0416     0.0000     0.1120     0.0000     0.0637     0.0337     0.0493 
    0.0419     0.6931     0.2430     0.0000     0.0751     0.0104     0.0477 
    0.0422     0.6931     0.1450     0.0000     0.0604     0.0254     0.0482 
    0.0426     0.6931     0.2194     0.0000     0.0768     0.0226     0.0546 
    0.0429     0.0000     0.1914     0.0000     0.0846     0.0344     0.0591 
    0.0432     0.0000     0.2524     0.0000     0.0574     0.0223     0.0471 
    0.0435     0.6931     0.2953     0.0000     0.0564     0.0240     0.0520 
    0.0439     0.6931     0.3104     0.0000     0.0723     0.0285     0.0568 
    0.0442     0.0000     0.3488     0.0000     0.0642     0.0240     0.0547 
    0.0445     0.6931     0.1942     0.0000     0.0645     0.0175     0.0458 
    0.0448     0.0000     0.2193     0.0000     0.0813     0.0271     0.0575 
    0.0452     0.0000     0.2907     0.0000     0.0689     0.0117     0.0475 
    0.0455     0.0000     0.2102     0.0000     0.0672     0.0260     0.0473 
    0.0458     0.0000     0.2299     0.0000     0.0708     0.0270     0.0541 
    0.0461     0.0000     0.2164     0.0000     0.0527     0.0136     0.0371 
    0.0465     0.0000     0.2386     0.0000     0.0903     0.0299     0.0597 
    0.0468     0.2158     0.2803     0.0000     0.1225     0.0121     0.0551 
    0.0471     0.6931     0.3781     0.0000     0.0958     0.0152     0.0536 
    0.0474     0.0000     0.3092     0.0000     0.0724     0.0127     0.0451 
    0.0478     0.0000     0.1792     0.0000     0.0897     0.0160     0.0455 
    0.0481     0.0000     0.2388     0.0000     0.0493     0.0186     0.0393 
    0.0484     0.0000     0.2816     0.0000     0.0689     0.0215     0.0484 
    0.0487     0.0000     0.2042     0.0000     0.0554     0.0184     0.0402 
    0.0491     0.2158     0.3653     0.0000     0.0674     0.0310     0.0590 
    0.0494     0.0000     0.3081     0.0000     0.0583     0.0215     0.0466 
    0.0497     0.0000     0.3559     0.0000     0.0644     0.0260     0.0530 
    0.0500     0.6931     0.3142     0.0000     0.0708     0.0182     0.0494 
    0.0504     0.0000     0.2283     0.0000     0.0700     0.0191     0.0442 
    0.0507     0.0000     0.3645     0.0000     0.0803     0.0173     0.0492 
    0.0510     0.0000     0.2773     0.0000     0.0912     0.0215     0.0558 
    0.0513     0.0000     0.2231     0.0000     0.0613     0.0113     0.0360 
    0.0517     0.6931     0.2514     0.0000     0.0720     0.0162     0.0420 
    0.0520     0.6931     0.3365     0.0000     0.0541     0.0180     0.0433 
    0.0523     0.0000     0.2765     0.0000     0.0856     0.0151     0.0454 
    0.0526     0.6931     0.3559     0.0000     0.0789     0.0097     0.0418 
    0.0530     0.0000     0.3599     0.0000     0.0602     0.0155     0.0452 
    0.0533     0.6931     0.4495     0.0000     0.0743     0.0139     0.0464 
    0.0536     0.6931     0.3250     0.0000     0.0665     0.0306     0.0569 
    0.0539     0.0000     0.2839     0.0000     0.0740     0.0179     0.0441 
    0.0542     0.0000     0.3517     0.0000     0.0974     0.0220     0.0559 
    0.0546     0.6931     0.2674     0.0000     0.0556     0.0173     0.0401 
    0.0549     0.6931     0.2256     0.0000     0.0672     0.0364     0.0552 
    0.0552     0.0000     0.4624     0.0000     0.0955     0.0261     0.0634 
    0.0555     0.6931     0.2257     0.0000     0.0629     0.0213     0.0413 
    0.0559     0.6931     0.1986     0.0000     0.0732     0.0181     0.0401 
    0.0562     0.6931     0.2750     0.0000     0.0721     0.0167     0.0413 
    0.0565     0.6931     0.2042     0.0000     0.0636     0.0226     0.0408 
    0.0568     0.6931     0.3258     0.0000     0.0682     0.0231     0.0468 
    0.0572     0.0000     0.2568     0.0000     0.0824     0.0191     0.0459 
    0.0575     0.0000     0.4495     0.0000     0.0794     0.0163     0.0487 
    0.0578     0.0000     0.3199     0.0000     0.0758     0.0172     0.0456 
    0.0581     0.0000     0.2757     0.0000     0.0707     0.0195     0.0460 
    0.0585     0.0000     0.4455     0.0000     0.0981     0.0212     0.0556 
    0.0588     0.6931     0.3243     0.0000     0.0648     0.0170     0.0399 
    0.0591     0.6931     0.3354     0.0000     0.0912     0.0271     0.0555 
    0.0594     0.6931     0.4487     0.0000     0.0701     0.0216     0.0505 
    0.0598     0.0000     0.2384     0.0000     0.0301     0.0158     0.0285 
    0.0601     0.0000     0.1749     0.0000     0.0772     0.0180     0.0398 
    0.0604     0.0000     0.3419     0.0000     0.0813     0.0235     0.0486 
    0.0607     0.0000     0.3361     0.0000     0.0947     0.0218     0.0515 
