   Time(s)         P1         P2         P3         P4         P5        JSD
    0.2131     0.0000     0.6931     0.0000     0.4159     0.0047     0.0115 
    0.2134     0.0000     0.6931     0.0000     0.3840     0.0046     0.0115 
    0.2137     0.0000     0.6931     0.0000     0.4405     0.0048     0.0117 
    0.2141     0.0000     0.6931     0.0000     0.4603     0.0046     0.0114 
    0.2144     0.0000     0.6931     0.0000     0.4127     0.0048     0.0117 
    0.2147     0.0000     0.6931     0.0000     0.3466     0.0049     0.0118 
    0.2150     0.0000     0.6931     0.0000     0.1639     0.0047     0.0101 
    0.2154     0.0000     0.6931     0.0000     0.3438     0.0054     0.0109 
    0.2157     0.0000     0.6931     0.0000     0.2773     0.0048     0.0103 
    0.2160     0.0000     0.4127     0.0000     0.3840     0.0048     0.0103 
    0.2163     0.0000     0.2158     0.0000     0.4405     0.0047     0.0102 
    0.2167     0.0000     0.6931     0.0000     0.3840     0.0048     0.0117 
    0.2170     0.0000     0.6931     0.0000     0.4127     0.0048     0.0117 
    0.2173     0.0000     0.2158     0.0000     0.3438     0.0047     0.0095 
    0.2176     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2180     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2183     0.0000     0.6931     0.0000     0.4405     0.0047     0.0122 
    0.2186     0.0000     0.6931     0.0000     0.3749     0.0048     0.0117 
    0.2189     0.0000     0.4545     0.0000     0.3466     0.0046     0.0101 
    0.2193     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2196     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2199     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2202     0.0000     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2206     0.0000     0.6931     0.0000     0.3403     0.0046     0.0114 
    0.2209     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2212     0.0000     0.3466     0.0000     0.4127     0.0046     0.0101 
    0.2215     0.0000     0.3183     0.0000     0.4159     0.0046     0.0101 
    0.2219     0.0000     0.6931     0.0000     0.4356     0.0046     0.0114 
    0.2222     0.6931     0.6931     0.0000     0.4356     0.0046     0.0114 
    0.2225     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2228     0.0000     0.2948     0.0000     0.3840     0.0046     0.0095 
    0.2232     0.0000     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2235     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2238     0.0000     0.6931     0.0000     0.3403     0.0046     0.0114 
    0.2241     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2245     0.0000     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2248     0.0000     0.6931     0.0000     0.3403     0.0046     0.0114 
    0.2251     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2254     0.0000     0.6931     0.0000     0.4356     0.0046     0.0114 
    0.2258     0.0000     0.4127     0.0000     0.2158     0.0046     0.0095 
    0.2261     0.0000     0.3466     0.0000     0.4127     0.0046     0.0101 
    0.2264     0.0000     0.6931     0.0000     0.4603     0.0046     0.0114 
    0.2267     0.0000     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2271     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2274     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2277     0.0000     0.3804     0.0000     0.2725     0.0046     0.0101 
    0.2280     0.0000     0.3804     0.0000     0.4127     0.0046     0.0114 
    0.2284     0.0000     0.3183     0.0000     0.4159     0.0046     0.0101 
    0.2287     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2290     0.0000     0.6931     0.0000     0.2744     0.0046     0.0114 
    0.2293     0.0000     0.5057     0.0000     0.2158     0.0046     0.0101 
    0.2297     0.0000     0.4127     0.0000     0.3840     0.0046     0.0101 
    0.2300     0.6931     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2303     0.0000     0.2744     0.0000     0.3403     0.0046     0.0095 
    0.2306     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2310     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2313     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2316     0.6931     0.6931     0.0000     0.2294     0.0046     0.0101 
    0.2319     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2323     0.0000     0.6931     0.0000     0.3438     0.0046     0.0101 
    0.2326     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2329     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2332     0.0000     0.2948     0.0000     0.3840     0.0046     0.0095 
    0.2336     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2339     0.0000     0.4838     0.0000     0.2948     0.0046     0.0101 
    0.2342     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2345     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2349     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2352     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2355     0.0000     0.6931     0.0000     0.4356     0.0046     0.0114 
    0.2358     0.0000     0.4127     0.0000     0.3840     0.0046     0.0101 
    0.2362     0.0000     0.4127     0.0000     0.3840     0.0046     0.0101 
    0.2365     0.0000     0.6931     0.0000     0.3403     0.0046     0.0114 
    0.2368     0.0000     0.4539     0.0000     0.3183     0.0046     0.0114 
    0.2371     0.0000     0.6931     0.0000     0.2158     0.0046     0.0114 
    0.2375     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2378     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2381     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2384     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2388     0.0000     0.2158     0.0000     0.3466     0.0046     0.0087 
    0.2391     0.0000     0.4127     0.0000     0.3840     0.0046     0.0101 
    0.2394     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2397     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2401     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2404     0.0000     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2407     0.0000     0.3466     0.0000     0.4127     0.0046     0.0101 
    0.2410     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2414     0.0000     0.2158     0.0000     0.3069     0.0046     0.0087 
    0.2417     0.0000     0.3183     0.0000     0.3142     0.0046     0.0101 
    0.2420     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2423     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2427     0.0000     0.6931     0.0000     0.2725     0.0046     0.0101 
    0.2430     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2433     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2436     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2440     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2443     0.0000     0.4545     0.0000     0.3466     0.0046     0.0101 
    0.2446     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2449     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2453     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2456     0.0000     0.4838     0.0000     0.2948     0.0046     0.0101 
    0.2459     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2462     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2466     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2469     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2472     0.0000     0.2158     0.0000     0.3142     0.0046     0.0087 
    0.2475     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2479     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2482     0.0000     0.3840     0.0000     0.2948     0.0046     0.0095 
    0.2485     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2488     0.0000     0.4545     0.0000     0.3466     0.0046     0.0101 
    0.2492     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2495     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2498     0.0000     0.4838     0.0000     0.2948     0.0046     0.0101 
    0.2501     0.0000     0.6931     0.0000     0.2158     0.0046     0.0114 
    0.2505     0.0000     0.4545     0.0000     0.3466     0.0046     0.0101 
    0.2508     0.0000     0.6931     0.0000     0.3403     0.0046     0.0114 
    0.2511     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2514     0.0000     0.3466     0.0000     0.3466     0.0046     0.0095 
    0.2518     0.0000     0.4228     0.0000     0.2948     0.0046     0.0095 
    0.2521     0.0000     0.6931     0.0000     0.2725     0.0046     0.0101 
    0.2524     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2527     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2531     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2534     0.0000     0.4545     0.0000     0.3466     0.0046     0.0101 
    0.2537     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2540     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2544     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2547     0.0000     0.6931     0.0000     0.2294     0.0046     0.0101 
    0.2550     0.0000     0.3183     0.0000     0.2773     0.0046     0.0087 
    0.2553     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2557     0.6931     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2560     0.0000     0.6931     0.0000     0.4356     0.0046     0.0114 
    0.2563     0.0000     0.6931     0.0000     0.3142     0.0046     0.0101 
    0.2566     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2570     0.0000     0.4545     0.0000     0.3466     0.0046     0.0101 
    0.2573     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2576     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2579     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2583     0.0000     0.2158     0.0000     0.4405     0.0046     0.0101 
    0.2586     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2589     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2592     0.0000     0.6931     0.0000     0.3403     0.0046     0.0114 
    0.2596     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2599     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2602     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2605     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2609     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2612     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2615     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2618     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2622     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2625     0.0000     0.6931     0.0000     0.3466     0.0046     0.0114 
    0.2628     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2631     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2635     0.0000     0.6931     0.0000     0.2294     0.0046     0.0101 
    0.2638     0.0000     0.3804     0.0000     0.2294     0.0046     0.0087 
    0.2641     0.0000     0.3804     0.0000     0.3588     0.0046     0.0109 
    0.2644     0.0000     0.4545     0.0000     0.2948     0.0047     0.0095 
    0.2648     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2651     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2654     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2657     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2660     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2664     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2667     0.0000     0.3804     0.0000     0.4127     0.0046     0.0114 
    0.2670     0.0000     0.6931     0.0000     0.4127     0.0046     0.0114 
    0.2673     0.0000     0.6931     0.0000     0.2773     0.0046     0.0101 
    0.2677     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2680     0.0000     0.3183     0.0000     0.3840     0.0045     0.0093 
    0.2683     0.0000     0.6931     0.0000     0.3466     0.0046     0.0107 
    0.2686     0.0000     0.6931     0.0000     0.4159     0.0046     0.0107 
    0.2690     0.0000     0.6931     0.0000     0.4405     0.0053     0.0114 
    0.2693     0.0000     0.6931     0.0000     0.2294     0.0047     0.0095 
    0.2696     0.0000     0.4545     0.0000     0.2948     0.0045     0.0093 
    0.2699     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.2703     0.0000     0.6931     0.0000     0.4405     0.0046     0.0114 
    0.2706     0.0000     0.3804     0.0000     0.3403     0.0046     0.0094 
    0.2709     0.0000     0.6931     0.0000     0.3466     0.0045     0.0107 
    0.2712     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.2716     0.0000     0.2158     0.0000     0.3403     0.0043     0.0085 
    0.2719     0.0000     0.6931     0.0000     0.4127     0.0046     0.0107 
    0.2722     0.0000     0.4127     0.0000     0.3466     0.0045     0.0093 
    0.2725     0.0000     0.3804     0.0000     0.1639     0.0046     0.0080 
    0.2729     0.0000     0.3183     0.0000     0.3840     0.0047     0.0095 
    0.2732     0.0000     0.6931     0.0000     0.3840     0.0047     0.0109 
    0.2735     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.2738     0.0000     0.3183     0.0000     0.3840     0.0045     0.0093 
    0.2742     0.0000     0.2158     0.0000     0.2773     0.0053     0.0087 
    0.2745     0.0000     0.6931     0.0000     0.4405     0.0047     0.0109 
    0.2748     0.0000     0.6931     0.0000     0.3840     0.0053     0.0114 
    0.2751     0.0000     0.6931     0.0000     0.3142     0.0046     0.0109 
    0.2755     0.0000     0.3183     0.0000     0.2294     0.0053     0.0087 
    0.2758     0.0000     0.6931     0.0000     0.2294     0.0053     0.0101 
    0.2761     0.0000     0.6931     0.0000     0.3840     0.0053     0.0114 
    0.2764     0.0000     0.6931     0.0000     0.3183     0.0043     0.0105 
    0.2768     0.0000     0.6931     0.0000     0.3840     0.0046     0.0114 
    0.2771     0.0000     0.6931     0.0000     0.3142     0.0046     0.0101 
    0.2774     0.0000     0.6931     0.0000     0.4159     0.0047     0.0109 
    0.2777     0.0000     0.2158     0.0000     0.3466     0.0046     0.0089 
    0.2781     0.0000     0.3804     0.0000     0.3403     0.0047     0.0095 
    0.2784     0.0000     0.4127     0.0000     0.3466     0.0045     0.0093 
    0.2787     0.0000     0.4545     0.0000     0.2948     0.0046     0.0094 
    0.2790     0.0000     0.6931     0.0000     0.3840     0.0047     0.0109 
    0.2794     0.0000     0.6931     0.0000     0.3142     0.0047     0.0095 
    0.2797     0.0000     0.6931     0.0000     0.3403     0.0046     0.0107 
    0.2800     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2803     0.0000     0.6931     0.0000     0.2773     0.0047     0.0095 
    0.2807     0.0000     0.6931     0.0000     0.2948     0.0046     0.0114 
    0.2810     0.6931     0.6931     0.0000     0.3403     0.0043     0.0105 
    0.2813     0.0000     0.3466     0.0000     0.4127     0.0046     0.0101 
    0.2816     0.0000     0.6931     0.0000     0.3840     0.0046     0.0108 
    0.2820     0.0000     0.6931     0.0000     0.1386     0.0046     0.0087 
    0.2823     0.0000     0.6931     0.0000     0.4356     0.0046     0.0114 
    0.2826     0.0000     0.3466     0.0000     0.3466     0.0046     0.0095 
    0.2829     0.0000     0.4127     0.0000     0.3840     0.0046     0.0101 
    0.2833     0.0000     0.6931     0.0000     0.3466     0.0047     0.0109 
    0.2836     0.0000     0.6931     0.0000     0.2773     0.0046     0.0094 
    0.2839     0.0000     0.3804     0.0000     0.3749     0.0047     0.0109 
    0.2842     0.0000     0.6931     0.0000     0.3142     0.0046     0.0101 
    0.2846     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.2849     0.0000     0.6931     0.0000     0.2294     0.0046     0.0101 
    0.2852     0.0000     0.6931     0.0000     0.1733     0.0046     0.0101 
    0.2855     0.0000     0.4545     0.0000     0.2948     0.0047     0.0095 
    0.2859     0.0000     0.6931     0.0000     0.3466     0.0045     0.0107 
    0.2862     0.0000     0.6931     0.0000     0.4159     0.0045     0.0107 
    0.2865     0.0000     0.6931     0.0000     0.3840     0.0052     0.0107 
    0.2868     0.0000     0.6931     0.0000     0.4603     0.0046     0.0108 
    0.2872     0.0000     0.6931     0.0000     0.4127     0.0053     0.0114 
    0.2875     0.0000     0.6931     0.0000     0.3840     0.0053     0.0114 
    0.2878     0.0000     0.6931     0.0000     0.4127     0.0053     0.0114 
    0.2881     0.0000     0.6931     0.0000     0.4127     0.0045     0.0107 
    0.2885     0.0000     0.6931     0.0000     0.4405     0.0047     0.0109 
    0.2888     0.0000     0.6931     0.0000     0.2725     0.0047     0.0095 
    0.2891     0.0000     0.6931     0.0000     0.3840     0.0053     0.0114 
    0.2894     0.0000     0.6931     0.0000     0.2294     0.0046     0.0094 
    0.2898     0.0000     0.6931     0.0000     0.3840     0.0047     0.0109 
    0.2901     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.2904     0.0000     0.2158     0.0000     0.4127     0.0053     0.0101 
    0.2907     0.0000     0.6931     0.0000     0.4356     0.0053     0.0114 
    0.2911     0.0000     0.6931     0.0000     0.4405     0.0047     0.0109 
    0.2914     0.0000     0.6931     0.0000     0.2773     0.0045     0.0093 
    0.2917     0.0000     0.6931     0.0000     0.2725     0.0047     0.0095 
    0.2920     0.0000     0.6931     0.0000     0.2898     0.0046     0.0095 
    0.2924     0.0000     0.2158     0.0000     0.4405     0.0053     0.0114 
    0.2927     0.0000     0.6931     0.0000     0.3840     0.0043     0.0105 
    0.2930     0.0000     0.6931     0.0000     0.3253     0.0046     0.0095 
    0.2933     0.0000     0.6931     0.0000     0.4621     0.0046     0.0114 
    0.2937     0.0000     0.6931     0.0000     0.2274     0.0046     0.0087 
    0.2940     0.0000     0.6931     0.0000     0.3142     0.0046     0.0101 
    0.2943     0.0000     0.6931     0.0000     0.4159     0.0046     0.0114 
    0.2946     0.0000     0.6931     0.0000     0.3840     0.0043     0.0105 
    0.2950     0.0000     0.4127     0.0000     0.3840     0.0046     0.0101 
    0.2953     0.0000     0.4127     0.0000     0.3466     0.0043     0.0091 
    0.2956     0.0000     0.3804     0.0000     0.3840     0.0046     0.0101 
    0.2959     0.0000     0.6931     0.0000     0.4405     0.0046     0.0107 
    0.2963     0.0000     0.6931     0.0000     0.4405     0.0047     0.0109 
    0.2966     0.0000     0.6931     0.0000     0.2773     0.0053     0.0101 
    0.2969     0.0000     0.6931     0.0000     0.2294     0.0048     0.0096 
    0.2972     0.0000     0.6931     0.0000     0.4405     0.0053     0.0114 
    0.2976     0.0000     0.6931     0.0000     0.3466     0.0053     0.0114 
    0.2979     0.0000     0.0000     0.0000     0.4405     0.0046     0.0094 
    0.2982     0.0000     0.6931     0.0000     0.4356     0.0047     0.0109 
    0.2985     0.0000     0.0000     0.0000     0.3142     0.0053     0.0087 
    0.2989     0.0000     0.6931     0.0000     0.3466     0.0047     0.0109 
    0.2992     0.0000     0.0000     0.0000     0.4621     0.0046     0.0108 
    0.2995     0.0000     0.6931     0.0000     0.4405     0.0043     0.0105 
    0.2998     0.0000     0.3466     0.0000     0.3840     0.0047     0.0095 
    0.3002     0.0000     0.6931     0.0000     0.1639     0.0047     0.0095 
    0.3005     0.0000     0.6931     0.0000     0.3403     0.0045     0.0107 
    0.3008     0.0000     0.6931     0.0000     0.3142     0.0045     0.0093 
    0.3011     0.0000     0.6931     0.0000     0.3142     0.0046     0.0101 
    0.3015     0.0000     0.6931     0.0000     0.3840     0.0053     0.0114 
    0.3018     0.0000     0.2158     0.0000     0.4159     0.0046     0.0094 
    0.3021     0.0000     0.2158     0.0000     0.3069     0.0046     0.0087 
    0.3024     0.0000     0.6931     0.0000     0.4603     0.0045     0.0107 
    0.3028     0.0000     0.6931     0.0000     0.3142     0.0046     0.0101 
    0.3031     0.0000     0.6931     0.0000     0.4621     0.0053     0.0114 
    0.3034     0.0000     0.6931     0.0000     0.4127     0.0045     0.0107 
    0.3037     0.0000     0.6931     0.0000     0.2948     0.0048     0.0110 
    0.3041     0.0000     0.6931     0.0000     0.2773     0.0047     0.0095 
    0.3044     0.0000     0.3183     0.0000     0.3840     0.0045     0.0093 
    0.3047     0.0000     0.6931     0.0000     0.3438     0.0045     0.0093 
    0.3050     0.0000     0.3466     0.0000     0.3840     0.0045     0.0093 
    0.3054     0.0000     0.6931     0.0000     0.2294     0.0053     0.0101 
    0.3057     0.0000     0.3466     0.0000     0.4127     0.0046     0.0101 
    0.3060     0.0000     0.6931     0.0000     0.3840     0.0053     0.0114 
    0.3063     0.0000     0.6931     0.0000     0.3840     0.0046     0.0108 
    0.3067     0.0000     0.6931     0.0000     0.3466     0.0048     0.0110 
    0.3070     0.0000     0.6931     0.0000     0.2773     0.0046     0.0094 
    0.3073     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.3076     0.0000     0.6931     0.0000     0.4405     0.0046     0.0107 
    0.3080     0.0000     0.6931     0.0000     0.4127     0.0047     0.0109 
    0.3083     0.0000     0.3804     0.0000     0.3403     0.0045     0.0093 
    0.3086     0.0000     0.6931     0.0000     0.3840     0.0047     0.0109 
    0.3089     0.0000     0.6931     0.0000     0.3466     0.0046     0.0107 
    0.3093     0.0000     0.6931     0.0000     0.3840     0.0046     0.0107 
    0.3096     0.0000     0.6931     0.0000     0.4405     0.0045     0.0107 
    0.3099     0.0000     0.6931     0.0000     0.4356     0.0045     0.0107 
    0.3102     0.0000     0.6931     0.0000     0.4405     0.0045     0.0107 
    0.3106     0.0000     0.6931     0.0000     0.4603     0.0046     0.0114 
    0.3109     0.0000     0.6931     0.0000     0.1639     0.0045     0.0093 
    0.3112     0.0000     0.4127     0.0000     0.3466     0.0045     0.0093 
    0.3115     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.3119     0.0000     0.6931     0.0000     0.4159     0.0045     0.0107 
    0.3122     0.0000     0.3466     0.0000     0.3840     0.0045     0.0093 
    0.3125     0.0000     0.4127     0.0000     0.3466     0.0045     0.0093 
    0.3128     0.0000     0.4127     0.0000     0.3466     0.0045     0.0093 
    0.3132     0.0000     0.4127     0.0000     0.3466     0.0045     0.0093 
    0.3135     0.0000     0.3466     0.0000     0.3840     0.0045     0.0093 
    0.3138     0.0000     0.6931     0.0000     0.3466     0.0045     0.0107 
    0.3141     0.0000     0.3466     0.0000     0.3840     0.0045     0.0093 
    0.3145     0.0000     0.6931     0.0000     0.2249     0.0045     0.0088 
    0.3148     0.0000     0.1079     0.0000     0.2948     0.0045     0.0074 
    0.3151     0.0000     0.6931     0.0000     0.2158     0.0046     0.0101 
    0.3154     0.0000     0.6931     0.0000     0.3142     0.0045     0.0093 
    0.3158     0.0000     0.6931     0.0000     0.3840     0.0046     0.0101 
    0.3161     0.0000     0.6931     0.0000     0.3403     0.0045     0.0107 
    0.3164     0.0000     0.6931     0.0000     0.2948     0.0042     0.0097 
    0.3167     0.0000     0.6931     0.0000     0.3840     0.0052     0.0107 
    0.3171     0.0000     0.6931     0.0000     0.3403     0.0046     0.0101 
    0.3174     0.0000     0.6931     0.0000     0.3840     0.0046     0.0101 
    0.3177     0.0000     0.6931     0.0000     0.2948     0.0045     0.0100 
    0.3180     0.0000     0.6931     0.0000     0.4159     0.0044     0.0099 
    0.3184     0.0000     0.6931     0.0000     0.4159     0.0044     0.0099 
    0.3187     0.0000     0.6931     0.0000     0.3466     0.0046     0.0101 
    0.3190     0.0000     0.6931     0.0000     0.3466     0.0047     0.0102 
    0.3193     0.0000     0.6931     0.0000     0.3840     0.0045     0.0100 
    0.3196     0.0000     0.6931     0.0000     0.2725     0.0046     0.0087 
    0.3200     0.0000     0.6931     0.0000     0.4159     0.0046     0.0101 
    0.3203     0.0000     0.6931     0.0000     0.3840     0.0052     0.0107 
    0.3206     0.0000     0.3466     0.0000     0.3466     0.0047     0.0088 
    0.3209     0.0000     0.3466     0.0000     0.3466     0.0046     0.0087 
    0.3213     0.0000     0.0000     0.0000     0.4159     0.0052     0.0093 
    0.3216     0.0000     0.6931     0.0000     0.3840     0.0045     0.0100 
    0.3219     0.0000     0.6931     0.0000     0.3840     0.0047     0.0102 
    0.3222     0.0000     0.6931     0.0000     0.3749     0.0047     0.0102 
    0.3226     0.0000     0.6931     0.0000     0.3466     0.0047     0.0102 
    0.3229     0.0000     0.6931     0.0000     0.2948     0.0046     0.0101 
    0.3232     0.0000     0.6931     0.0000     0.2948     0.0046     0.0101 
    0.3235     0.0000     0.6931     0.0000     0.3403     0.0046     0.0101 
    0.3239     0.0000     0.6931     0.0000     0.3403     0.0045     0.0100 
    0.3242     0.6931     0.6931     0.0000     0.3403     0.0045     0.0100 
    0.3245     0.0000     0.4127     0.0000     0.2948     0.0045     0.0086 
    0.3248     0.0000     0.6931     0.0000     0.2948     0.0045     0.0100 
    0.3252     0.0000     0.3183     0.0000     0.1639     0.0045     0.0072 
    0.3255     0.0000     0.6931     0.0000     0.3840     0.0052     0.0107 
    0.3258     0.0000     0.6931     0.0000     0.2725     0.0047     0.0096 
    0.3261     0.0000     0.3466     0.0000     0.3466     0.0052     0.0093 
    0.3265     0.0000     0.6931     0.0000     0.4159     0.0045     0.0107 
    0.3268     0.0000     0.3466     0.0000     0.3466     0.0052     0.0093 
    0.3271     0.0000     0.6931     0.0000     0.2294     0.0045     0.0093 
    0.3274     0.0000     0.3183     0.0000     0.3403     0.0045     0.0086 
    0.3278     0.0000     0.6931     0.0000     0.3216     0.0045     0.0101 
    0.3281     0.0000     0.6931     0.0000     0.2294     0.0045     0.0093 
    0.3284     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.3287     0.0000     0.6931     0.0000     0.1733     0.0045     0.0093 
    0.3291     0.0000     0.6931     0.0000     0.3466     0.0044     0.0099 
    0.3294     0.0000     0.6931     0.0000     0.3840     0.0045     0.0100 
    0.3297     0.0000     0.6931     0.0000     0.2294     0.0045     0.0093 
    0.3300     0.0000     0.6931     0.0000     0.2294     0.0046     0.0088 
    0.3304     0.0000     0.6931     0.0000     0.1879     0.0045     0.0079 
    0.3307     0.0000     0.6931     0.0000     0.1733     0.0045     0.0093 
    0.3310     0.0000     0.6931     0.0000     0.4405     0.0045     0.0107 
    0.3313     0.0000     0.6931     0.0000     0.3403     0.0052     0.0107 
    0.3317     0.0000     0.6931     0.0000     0.3466     0.0052     0.0107 
    0.3320     0.0000     0.6931     0.0000     0.3840     0.0046     0.0101 
    0.3323     0.0000     0.6931     0.0000     0.2773     0.0045     0.0093 
    0.3326     0.0000     0.6931     0.0000     0.3840     0.0045     0.0107 
    0.3330     0.0000     0.6931     0.0000     0.3840     0.0052     0.0107 
    0.3333     0.0000     0.6931     0.0000     0.3142     0.0045     0.0093 
    0.3336     0.0000     0.6931     0.0000     0.3403     0.0047     0.0102 
    0.3339     0.0000     0.3466     0.0000     0.3466     0.0047     0.0088 
    0.3343     0.0000     0.6931     0.0000     0.2294     0.0052     0.0093 
    0.3346     0.0000     0.6931     0.0000     0.3840     0.0045     0.0100 
    0.3349     0.0000     0.6931     0.0000     0.3840     0.0052     0.0107 
    0.3352     0.0000     0.6931     0.0000     0.3183     0.0046     0.0101 
