  Time(ns)                Steps      Q_tot      Q_mod
     5.550               370000     0.4830         NA
     5.625               375000     0.4932         NA
     5.700               380000     0.4796         NA
     5.775               385000     0.5170         NA
     5.850               390000     0.4762         NA
     5.925               395000     0.4660         NA
     6.000               400000     0.5000         NA
     6.075               405000     0.4592         NA
     6.150               410000     0.4830         NA
     6.225               415000     0.4898         NA
     6.300               420000     0.4830         NA
     6.375               425000     0.4048         NA
     6.450               430000     0.5000         NA
     6.525               435000     0.4728         NA
     6.600               440000     0.4558         NA
     6.675               445000     0.4626         NA
     6.750               450000     0.4558         NA
     6.825               455000     0.4626         NA
     6.900               460000     0.4898         NA
     6.975               465000     0.5068         NA
     7.050               470000     0.5102         NA
     7.125               475000     0.5408         NA
     7.200               480000     0.5340         NA
     7.275               485000     0.5272         NA
     7.350               490000     0.5136         NA
     7.425               495000     0.5476         NA
     7.500               500000     0.5238         NA
     7.575               505000     0.5442         NA
     7.650               510000     0.5170         NA
     7.725               515000     0.5374         NA
     7.800               520000     0.5170         NA
     7.875               525000     0.5034         NA
     7.950               530000     0.4966         NA
     8.025               535000     0.5000         NA
     8.100               540000     0.5272         NA
     8.175               545000     0.5238         NA
     8.250               550000     0.4864         NA
     8.325               555000     0.5204         NA
     8.400               560000     0.4830         NA
     8.475               565000     0.4932         NA
     8.550               570000     0.4830         NA
     8.625               575000     0.4660         NA
     8.700               580000     0.5000         NA
     8.775               585000     0.5238         NA
     8.850               590000     0.5340         NA
     8.925               595000     0.5000         NA
     9.000               600000     0.4898         NA
     9.075               605000     0.4932         NA
     9.150               610000     0.4762         NA
     9.225               615000     0.4796         NA
     9.300               620000     0.5272         NA
     9.375               625000     0.5068         NA
     9.450               630000     0.4830         NA
     9.525               635000     0.4592         NA
     9.600               640000     0.5102         NA
     9.675               645000     0.4762         NA
     9.750               650000     0.4694         NA
     9.825               655000     0.4966         NA
     9.900               660000     0.5170         NA
     9.975               665000     0.5000         NA
    10.050               670000     0.4830         NA
    10.125               675000     0.4592         NA
    10.200               680000     0.4966         NA
    10.275               685000     0.5374         NA
    10.350               690000     0.5578         NA
    10.425               695000     0.5272         NA
    10.500               700000     0.5068         NA
    10.575               705000     0.5442         NA
    10.650               710000     0.4932         NA
    10.725               715000     0.4898         NA
    10.800               720000     0.4864         NA
    10.875               725000     0.4796         NA
    10.950               730000     0.4694         NA
    11.025               735000     0.5136         NA
    11.100               740000     0.5034         NA
    11.175               745000     0.5000         NA
    11.250               750000     0.5102         NA
    11.325               755000     0.5034         NA
    11.400               760000     0.5340         NA
    11.475               765000     0.5204         NA
    11.550               770000     0.4728         NA
    11.625               775000     0.5034         NA
    11.700               780000     0.4694         NA
    11.775               785000     0.5102         NA
    11.850               790000     0.5170         NA
    11.925               795000     0.5204         NA
    12.000               800000     0.5102         NA
    12.075               805000     0.4830         NA
    12.150               810000     0.4966         NA
    12.225               815000     0.4932         NA
    12.300               820000     0.5170         NA
    12.375               825000     0.5034         NA
    12.450               830000     0.5578         NA
    12.525               835000     0.5748         NA
    12.600               840000     0.5748         NA
    12.675               845000     0.6156         NA
    12.750               850000     0.6327         NA
    12.825               855000     0.6463         NA
    12.900               860000     0.6565         NA
    12.975               865000     0.5952         NA
    13.050               870000     0.6327         NA
    13.125               875000     0.5612         NA
    13.200               880000     0.5850         NA
    13.275               885000     0.5782         NA
    13.350               890000     0.6361         NA
    13.425               895000     0.6259         NA
    13.500               900000     0.5476         NA
    13.575               905000     0.5850         NA
    13.650               910000     0.5510         NA
    13.725               915000     0.5510         NA
    13.800               920000     0.5204         NA
    13.875               925000     0.5238         NA
    13.950               930000     0.5306         NA
    14.025               935000     0.5476         NA
    14.100               940000     0.5442         NA
    14.175               945000     0.5238         NA
    14.250               950000     0.5918         NA
    14.325               955000     0.5136         NA
    14.400               960000     0.5816         NA
    14.475               965000     0.5476         NA
    14.550               970000     0.5136         NA
    14.625               975000     0.5476         NA
    14.700               980000     0.5340         NA
    14.775               985000     0.5476         NA
    14.850               990000     0.5544         NA
    14.925               995000     0.5340         NA
    15.000              1000000     0.5714         NA
    15.075              1005000     0.5646     0.5100
    15.150              1010000     0.5408     0.5100
    15.225              1015000     0.5204     0.5100
    15.300              1020000     0.5408     0.5100
    15.375              1025000     0.5238     0.5100
    15.450              1030000     0.5204     0.5100
    15.525              1035000     0.5748     0.5100
    15.600              1040000     0.5408     0.5100
    15.675              1045000     0.5442     0.5100
    15.750              1050000     0.5748     0.5100
    15.825              1055000     0.5918     0.5100
    15.900              1060000     0.5374     0.5100
    15.975              1065000     0.5170     0.5100
    16.050              1070000     0.4864     0.5100
    16.125              1075000     0.5204     0.4900
    16.200              1080000     0.5442     0.4900
    16.275              1085000     0.5374     0.4900
    16.350              1090000     0.5884     0.4900
    16.425              1095000     0.6803     0.4900
    16.500              1100000     0.5714     0.4900
    16.575              1105000     0.5714     0.5100
    16.650              1110000     0.5578     0.5100
    16.725              1115000     0.5170     0.5100
    16.800              1120000     0.5578     0.5100
    16.875              1125000     0.6122     0.5100
    16.950              1130000     0.6122     0.5100
    17.025              1135000     0.6190     0.5100
    17.100              1140000     0.5884     0.5100
    17.175              1145000     0.5986     0.5100
    17.250              1150000     0.5952     0.5100
    17.325              1155000     0.5816     0.5100
    17.400              1160000     0.6259     0.5100
    17.475              1165000     0.6429     0.5100
    17.550              1170000     0.6122     0.5100
    17.625              1175000     0.6497     0.5100
    17.700              1180000     0.6088     0.5100
    17.775              1185000     0.6769     0.5100
    17.850              1190000     0.6633     0.5100
    17.925              1195000     0.6463     0.5100
    18.000              1200000     0.6531     0.5100
    18.075              1205000     0.5816     0.5100
    18.150              1210000     0.5748     0.5100
    18.225              1215000     0.5374     0.5100
    18.300              1220000     0.5578     0.5100
    18.375              1225000     0.5816     0.5100
    18.450              1230000     0.5374     0.5100
    18.525              1235000     0.6088     0.5100
    18.600              1240000     0.5238     0.5100
    18.675              1245000     0.4694     0.5100
    18.750              1250000     0.4456     0.5100
    18.825              1255000     0.5068     0.5100
    18.900              1260000     0.5442     0.5100
    18.975              1265000     0.5578     0.5100
    19.050              1270000     0.4864     0.5100
    19.125              1275000     0.4830     0.5100
    19.200              1280000     0.4898     0.5100
    19.275              1285000     0.4694     0.5100
    19.350              1290000     0.4626     0.5100
    19.425              1295000     0.4898     0.5100
    19.500              1300000     0.4592     0.5100
    19.575              1305000     0.4864     0.5100
    19.650              1310000     0.5136     0.5100
    19.725              1315000     0.4898     0.5100
    19.800              1320000     0.4966     0.5100
    19.875              1325000     0.4796     0.5100
    19.950              1330000     0.4966     0.5100
    20.025              1335000     0.5034     0.5100
    20.100              1340000     0.5170     0.5100
    20.175              1345000     0.5170     0.5100
    20.250              1350000     0.4796     0.5100
    20.325              1355000     0.5136     0.5100
    20.400              1360000     0.4864     0.5100
    20.475              1365000     0.4830     0.5100
    20.550              1370000     0.4796     0.5100
    20.625              1375000     0.4524     0.5100
    20.700              1380000     0.4592     0.5100
    20.775              1385000     0.4354     0.5100
    20.850              1390000     0.4354     0.5100
    20.925              1395000     0.5034     0.5100
    21.000              1400000     0.4966     0.5100
    21.075              1405000     0.4830     0.5100
    21.150              1410000     0.5102     0.5100
    21.225              1415000     0.4898     0.5100
    21.300              1420000     0.4728     0.5100
    21.375              1425000     0.5000     0.5100
    21.450              1430000     0.5102     0.5100
    21.525              1435000     0.5170     0.5100
    21.600              1440000     0.4184     0.5100
    21.675              1445000     0.4728     0.5100
