       D_1        D_2        D_3        1|2        2|3      total
    0.5000     0.2000     1.0000     0.0000     1.0000     0.4821
    0.5000     0.3286     0.9474     0.0000     1.0000     0.5446
    0.5000     0.3143     0.9737     0.0000     1.0000     0.5446
    0.5000     0.1571     1.0000     0.0000     1.0000     0.4554
    1.0000     0.2286     0.9474     0.0000     1.0000     0.4911
    0.5000     0.2286     0.9737     0.0000     1.0000     0.4911
    0.0000     0.1000     0.9211     0.0000     1.0000     0.3839
    0.0000     0.1000     0.9737     0.0000     1.0000     0.4018
    0.0000     0.1143     0.9211     0.0000     1.0000     0.3929
    0.0000     0.1143     0.9737     0.0000     1.0000     0.4107
    0.0000     0.1000     0.9474     0.0000     1.0000     0.3929
    0.5000     0.2286     0.9737     0.0000     1.0000     0.4911
    0.0000     0.2429     1.0000     0.0000     1.0000     0.5000
    0.5000     0.2000     1.0000     0.0000     1.0000     0.4821
    0.0000     0.2143     1.0000     0.0000     1.0000     0.4821
    0.0000     0.1714     0.9737     0.0000     1.0000     0.4464
    0.5000     0.2571     0.9737     0.0000     1.0000     0.5089
    0.0000     0.2143     1.0000     0.0000     1.0000     0.4821
    0.5000     0.1429     0.8947     0.0000     1.0000     0.4107
    0.5000     0.1714     1.0000     0.0000     1.0000     0.4643
    0.5000     0.1000     0.9737     0.0000     1.0000     0.4107
    0.5000     0.1429     1.0000     0.0000     1.0000     0.4464
    0.5000     0.1429     0.9737     0.0000     1.0000     0.4375
    0.5000     0.1571     1.0000     0.0000     1.0000     0.4554
    0.5000     0.1143     0.9474     0.0000     1.0000     0.4107
    0.5000     0.0714     0.9474     0.0000     1.0000     0.3839
    0.0000     0.1857     0.9737     0.0000     1.0000     0.4554
    0.5000     0.1857     0.9474     0.0000     1.0000     0.4554
    0.0000     0.2143     0.9211     0.0000     1.0000     0.4554
    0.5000     0.2286     0.9474     0.0000     1.0000     0.4821
    0.5000     0.3571     0.9737     0.0000     1.0000     0.5714
    0.5000     0.3857     0.9474     0.0000     1.0000     0.5804
    0.5000     0.4286     0.9737     0.0000     1.0000     0.6161
    0.5000     0.5286     0.9211     0.0000     1.0000     0.6607
    0.5000     0.6000     0.9737     0.0000     1.0000     0.7232
    0.0000     0.6714     0.9737     0.0000     1.0000     0.7589
